Course,S 2025,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021
MATH 115,1,1,1,1,1,1,1,1
MATH 116,1,1,1,1,1,1,1,1
MATH 203,0,0,0,0,1,0,0,0
MATH 205,1,1,1,1,1,1,1,1
MATH 206,1,1,1,1,1,1,1,1
MATH 215,1,1,1,1,1,1,1,1
MATH 220,0,1,0,1,0,1,0,1
MATH 223,1,0,1,0,1,0,1,0
MATH 225,1,0,1,1,1,0,1,1
MATH 302,1,1,1,1,1,1,1,1
MATH 303,1,0,1,0,1,0,1,0
MATH 305,1,1,1,1,1,1,1,1
MATH 306,1,0,1,0,0,0,1,0
MATH 307,0,1,0,1,0,1,1,0
MATH 309,0,0,0,0,1,0,0,0
MATH 310,0,1,0,1,0,1,0,1
MATH 312,0,0,0,0,0,0,0,1
MATH 314,0,0,0,0,0,0,0,1
MATH 316,0,0,0,0,0,0,0,0
MATH 322,0,0,0,0,0,1,0,0
MATH 325,0,0,0,0,1,0,0,0
MATH 326,1,0,1,0,0,0,0,1
MATH 340,0,0,0,0,0,1,0,0
MATH 349,1,1,1,1,1,0,0,0
STAT 218,1,1,1,1,1,1,1,1
STAT 221,1,0,1,0,0,0,1,0
STAT 228,0,0,0,0,1,0,1,0
STAT 260,0,1,0,1,0,1,0,1
STAT 320,0,1,0,1,0,0,0,0
STAT 318,1,1,1,1,1,1,0,1
